title,company,location,job_type,experience_level,skills,posting_date,application_link,scraped_at
Software Quality Assurance Engineer,ISTQSERVERS -,"Cairo, Egypt",Full Time,· 0 - 1 Yrs of Exp,"['· Information Technology (IT)', '· Quality Assurance', '· Development', 'Software Quality Assurance Engineer', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/ngkg9ql0vgxd-software-quality-assurance-engineer-istqservers-cairo-egypt,2025-08-26 01:17:41
Senior Software Engineer,iDen2 -,"San Francisco, United States",Full Time,· 3 - 7 Yrs of Exp,"['· APIs', '· Node.js', '· PostgreSQL', 'Software Engineering', '· Microservices', '· AWS', '· IT/Software Development', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/qr7drsbemmgf-senior-software-engineer-iden2-san-francisco-united-states,2025-08-26 01:17:49
Senior Software Engineer (PHP Expert),Zeidex -,"Maadi, Cairo, Egypt",Full Time,Experienced,"['· php', '· Microservice Architecture', '· MySQL', 'Software Development', '· Security', '· Redis', '· Team Leadership', '· Scrum', '· IT/Software Development', '· Tourism/Travel']",Not specified,https://wuzzuf.net/jobs/p/ixit1efhmwlm-senior-software-engineer-php-expert-zeidex-cairo-egypt,2025-08-26 01:17:49
Senior Software Technical Support Engineer,GET Group- Egypt -,"Sheraton, Cairo, Egypt",Full Time,· 4 - 7 Yrs of Exp,"['Engineering', '· Computer Science', '· Linux', '· Microsoft SQL Server', 'Software', 'Software Development', '· Information Technology (IT)', '· Installation/Maintenance/Repair', '· IT/Software Development', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/cbqjfrmn8rdt-senior-software-technical-support-engineer-get-group-egypt-cairo-egypt,2025-08-26 01:17:49
Software Engineer (AI & Data Analytics),Confidential -,"Maadi, Cairo, Egypt",Full Time,· 3 - 6 Yrs of Exp,"['· Analysis', '· Information Technology (IT)', '· Cloud', 'Software Engineering', 'Software Development', '· Java', '· Programming', '· AWS', 'Software Engineer (AI & Data Analytics)', '· IT/Software Development', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/hllsrabdljox-software-engineer-ai-data-analytics-cairo-egypt,2025-08-26 01:17:49
Automation Software Quality Control Engineer,Confidential -,"6th of October, Giza, Egypt",Full Time,· 4 - 7 Yrs of Exp,"['· Manual Testing', '· quality', 'Software', '· test automation', '· Testing', '· Automation', '· Computer Science', 'Automation Software Quality Control Engineer', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/ajatuo96zhjz-automation-software-quality-control-engineer-giza-egypt,2025-08-26 01:17:49
Software Engineer,Shebak -,"Smart Village, Giza, Egypt",Full Time,· 0 - 2 Yrs of Exp,"['· Python', '· Computer Science', '· PostgreSQL', '· C++', '· Meta-Classes', '· Git', '· Unix', '· Linux', 'Software Engineer', '· IT/Software Development', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/2d2x9ldoatv1-software-engineer-shebak-giza-egypt,2025-08-26 01:17:50
Software Testing Engineer,realme -,"Nasr City, Cairo, Egypt",Full Time,· 0 - 2 Yrs of Exp,"['· Communication', '· Information Technology (IT)', 'Software Development', 'Software', 'Engineering', '· Testing', '· Electronics', 'Software Testing Engineer', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/ml8cyisbr5o7-software-testing-engineer-realme-cairo-egypt,2025-08-26 01:17:50
Software Tester/ Web Application QA Engineer (Remote),iBrokerage Ltd. -,"Cairo, Egypt",Full Time,· 4 - 8 Yrs of Exp,"['· QA', '· Quality Assurance', 'Software Testing', '· Testing', '· Information Technology (IT)', '· Computer Science', 'Engineering', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/c3722h24iuhq-software-tester-web-application-qa-engineer-remote-ibrokerage-ltd-cairo-egypt,2025-08-26 01:17:50
Senior Software Tester,Tafeel -,"Nasr City, Cairo, Egypt",Full Time,· 4 - 6 Yrs of Exp,"['Software', 'Software Testing', '· Testing', '· QA', '· Quality Assurance', '· Information Technology (IT)', '· Computer Science', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",4 days ago,https://wuzzuf.net/jobs/p/zmvtbujifhrt-senior-software-tester-tafeel-cairo-egypt,2025-08-26 01:17:50
